"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","KHARIF SORGHUM AREA (1000 ha)","RABI SORGHUM AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","BARLEY AREA (1000 ha)","CHICKPEA AREA (1000 ha)","PIGEONPEA AREA (1000 ha)","MINOR PULSES AREA (1000 ha)","GROUNDNUT AREA (1000 ha)","SESAMUM AREA (1000 ha)","RAPESEED AND MUSTARD AREA (1000 ha)","SAFFLOWER AREA (1000 ha)","CASTOR AREA (1000 ha)","LINSEED AREA (1000 ha)","SUNFLOWER AREA (1000 ha)","SOYABEAN AREA (1000 ha)","OILSEEDS AREA (1000 ha)","SUGARCANE AREA (1000 ha)","COTTON AREA (1000 ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"74","2017","5","Karnataka","Dharwad","52.59","54.57","4.94","165.03","169.98","2.17","251.61","0.19","0.0","237.58","5.47","113.23","78.4","0.24","0.04","11.35","0.03","0.09","36.59","36.39","0.0","22.51","148.05","18.37","58.21","76.59","1.09","45.26","0.15"
"75","2017","5","Karnataka","Belgaum","64.58","46.35","12.63","132.37","145.0","7.78","141.2","0.43","0.0","112.24","6.28","43.15","32.63","0.08","0.14","1.46","0.0","0.14","7.79","76.75","0.0","208.73","31.0","14.83","25.98","40.81","3.7","4.4","1.37"
"76","2017","5","Karnataka","Bijapur / Vijayapura","0.03","68.7","0.35","256.58","256.93","47.58","113.44","0.0","0.0","354.62","285.57","65.13","76.21","0.37","0.0","2.22","0.0","1.28","50.41","0.95","0.0","104.12","13.65","31.84","39.32","71.16","0.0","33.77","0.35"
"77","2017","5","Karnataka","Bidar","1.02","4.66","20.33","22.35","42.69","2.29","0.87","0.0","0.0","65.42","78.68","67.19","0.06","1.05","0.08","13.34","0.01","0.16","0.01","149.03","0.0","15.52","0.49","1.46","1.94","3.4","0.08","0.48","0.01"
"78","2017","5","Karnataka","Raichur","167.4","6.93","1.5","112.82","114.32","118.91","65.34","0.0","0.0","187.46","55.44","39.96","52.35","5.45","0.49","2.59","0.31","0.36","45.11","0.0","0.0","1.29","92.46","8.43","12.99","21.42","0.0","3.82","0.0"
"79","2017","5","Karnataka","Gulbarga / Kalaburagi","113.28","11.07","0.76","250.74","251.51","21.16","2.28","0.0","0.0","226.66","386.84","161.23","57.17","6.1","0.0","2.01","0.01","0.02","10.92","13.35","0.0","2.22","123.77","9.05","11.52","20.57","0.14","3.9","0.06"
"80","2017","5","Karnataka","Dakshina Kannada","80.26","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","4.18","1.77","0.31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","63.73","3.59","67.32","0.0","0.0","0.04"
"81","2017","5","Karnataka","Uttara Kannada","62.87","0.0","0.0","0.0","0.0","0.0","9.87","0.0","0.0","0.0","0.0","1.87","1.68","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","1.21","9.95","0.16","10.12","0.0","0.03","0.03"
"82","2017","5","Karnataka","Kodagu / Coorg","27.17","0.0","0.0","0.0","0.0","0.0","3.56","0.0","0.0","0.0","0.0","0.01","0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.43","0.3","7.73","0.01","0.0","0.0"
"83","2017","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","193.22","0.0","0.02","0.02","0.04","0.75","0.01","0.49","0.0","0.0","0.2","12.78","18.18","1.7","0.0","0.0","0.03","0.0","0.01","0.0","0.0","7.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"84","2017","11","Tamil Nadu","South Arcot / Cuddalore","294.85","0.0","1.37","0.26","1.62","34.28","37.72","2.44","0.0","0.0","0.23","145.84","47.14","9.3","0.0","0.0","0.02","0.0","0.08","0.0","0.0","68.39","19.37","0.0","0.0","0.0","0.0","0.23","0.0"
"85","2017","11","Tamil Nadu","North Arcot / Vellore","216.65","0.0","4.96","0.56","5.51","7.44","5.37","11.62","0.0","0.01","11.05","42.92","93.7","2.32","0.0","0.0","0.23","0.0","0.21","0.0","0.0","25.27","6.93","0.0","0.0","0.0","0.0","0.04","0.0"
"86","2017","11","Tamil Nadu","Salem","73.11","0.0","117.12","40.25","157.37","1.87","51.96","65.84","0.0","1.1","19.77","129.66","66.56","3.92","0.28","0.0","2.97","0.0","0.03","0.0","0.0","24.56","37.06","0.0","0.0","0.0","0.08","3.28","0.0"
"87","2017","11","Tamil Nadu","Coimbatore","90.17","0.0","27.66","18.94","46.59","0.41","18.09","0.02","0.0","2.54","0.78","19.18","18.26","1.95","0.0","0.0","0.04","0.0","0.03","0.0","0.0","4.48","0.93","0.0","0.0","0.0","0.0","2.04","0.0"
"88","2017","11","Tamil Nadu","Tiruchirapalli / Trichy","99.63","0.0","45.73","21.62","67.35","2.86","88.69","3.77","0.0","0.8","9.67","29.27","41.18","11.31","0.0","0.0","0.85","0.0","0.8","0.0","0.0","18.64","59.88","0.0","0.0","0.0","0.28","10.23","0.0"
"89","2017","11","Tamil Nadu","Thanjavur","520.25","0.0","2.71","3.66","6.37","0.15","10.17","1.76","0.0","0.37","0.51","208.36","20.11","6.28","0.0","0.0","0.11","0.0","0.01","0.0","0.0","8.54","7.66","0.0","0.0","0.0","0.13","0.61","0.0"
"90","2017","11","Tamil Nadu","Madurai","36.78","0.0","36.3","36.49","72.78","3.53","42.88","0.05","0.0","0.36","6.24","48.56","9.84","1.82","0.01","0.0","0.11","0.0","0.1","0.0","0.0","6.97","19.67","0.0","0.0","0.0","2.14","2.46","0.0"
"91","2017","11","Tamil Nadu","Ramananthapuram","217.34","0.0","5.18","11.77","16.95","1.99","24.82","0.47","0.0","0.01","0.75","15.47","11.18","2.14","0.0","0.0","0.01","0.0","2.09","0.0","0.0","5.03","20.03","0.0","0.0","0.0","0.0","1.03","0.0"
"92","2017","11","Tamil Nadu","Thirunelveli","77.0","0.0","0.32","10.72","11.04","9.75","44.82","0.05","0.0","0.01","0.03","117.88","1.18","0.85","0.0","0.0","0.0","0.0","3.38","0.0","0.0","2.57","10.09","0.0","0.0","0.0","0.0","2.89","0.0"
"93","2017","11","Tamil Nadu","The Nilgiris","0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.94","0.0","0.0"
"94","2017","11","Tamil Nadu","Kanyakumari","9.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.34","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"96","2017","7","Maharashtra","Thane","132.68","0.02","0.0","0.0","0.0","0.0","0.0","13.9","0.0","3.3","2.5","10.07","0.08","0.55","0.01","0.0","0.0","0.0","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"97","2017","7","Maharashtra","Raigad","114.24","0.0","0.0","0.0","0.0","0.0","0.0","6.7","0.0","0.01","0.3","12.02","0.12","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"98","2017","7","Maharashtra","Ratnagiri","139.25","0.0","0.0","0.0","0.0","0.0","0.0","16.0","0.0","0.0","0.0","7.16","1.37","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","1.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"99","2017","7","Maharashtra","Nasik","72.5","112.46","0.8","5.8","6.6","136.5","163.58","26.0","0.0","72.5","7.6","20.69","24.33","0.03","0.1","0.0","0.3","0.0","0.04","67.5","0.0","11.86","65.4","0.0","0.0","0.0","0.0","0.0","0.0"
"100","2017","7","Maharashtra","Dhule","33.6","75.66","61.5","25.5","87.0","82.76","123.93","1.62","0.0","96.2","30.9","57.13","22.57","0.51","1.5","0.0","0.2","0.0","0.31","45.63","0.0","17.39","297.0","0.0","0.0","0.0","0.0","0.0","0.0"
"101","2017","7","Maharashtra","Jalgaon","0.0","51.01","55.7","35.4","91.1","20.2","202.67","0.0","0.0","72.3","19.5","62.63","5.05","3.63","0.01","0.0","0.0","0.0","0.01","34.14","0.0","9.33","514.3","0.0","0.0","0.0","0.0","0.0","0.0"
"102","2017","7","Maharashtra","Ahmednagar","16.2","79.8","1.6","548.9","550.5","119.5","78.38","0.1","0.0","208.01","15.7","80.16","15.72","0.24","0.21","0.1","1.09","0.05","0.71","59.28","0.0","104.4","132.8","0.0","0.0","0.0","0.0","0.0","0.0"
"103","2017","7","Maharashtra","Pune","52.0","72.4","1.7","223.4","225.1","32.0","47.33","2.7","0.0","90.3","2.0","36.53","21.69","0.88","0.01","0.0","0.1","0.0","0.23","20.23","0.0","113.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"104","2017","7","Maharashtra","Satara","45.8","37.2","24.1","136.6","160.7","67.4","33.99","4.5","0.0","31.0","1.7","48.17","35.68","0.01","0.1","0.1","0.05","0.0","0.64","69.7","0.0","80.64","0.09","0.0","0.0","0.0","0.0","0.0","0.0"
"105","2017","7","Maharashtra","Sangli","17.0","25.1","53.8","139.3","193.1","58.8","58.78","0.0","0.0","29.4","7.4","36.44","29.25","0.02","0.01","0.5","0.03","0.0","1.26","47.3","0.0","80.18","0.25","0.0","0.0","0.0","0.0","0.0","0.0"
"106","2017","7","Maharashtra","Solapur","0.6","68.7","0.0","656.9","656.9","28.6","75.81","0.0","0.0","68.25","29.8","36.99","5.11","0.41","0.1","0.8","0.1","0.08","21.09","33.59","0.0","100.5","0.3","0.0","0.0","0.0","0.0","0.0","0.0"
"107","2017","7","Maharashtra","Kolhapur","109.46","2.8","4.9","12.6","17.5","0.0","10.44","21.3","0.0","5.4","2.0","10.17","54.5","0.01","0.0","0.0","0.0","0.0","0.68","51.3","0.0","143.9","0.01","0.0","0.0","0.0","0.0","0.0","0.0"
"108","2017","7","Maharashtra","Aurangabad","0.0","103.1","3.5","248.6","252.1","73.7","112.65","0.0","0.0","145.6","118.3","50.97","9.0","0.52","0.2","0.64","1.8","0.0","0.15","141.6","0.0","45.12","800.89","0.0","0.0","0.0","0.0","0.0","0.0"
"109","2017","7","Maharashtra","Parbhani","0.0","67.0","69.17","113.63","182.8","1.65","5.63","0.0","0.0","183.07","130.3","107.58","6.17","1.6","0.0","8.0","0.84","0.09","0.01","405.47","0.0","34.5","272.1","0.0","0.0","0.0","0.0","0.0","0.0"
"110","2017","7","Maharashtra","Beed","0.06","53.9","21.0","500.3","521.3","152.7","48.83","0.0","0.0","138.4","92.6","41.34","31.66","6.6","0.02","2.96","0.1","1.14","1.11","181.3","0.0","36.05","348.51","0.0","0.0","0.0","0.0","0.0","0.0"
"111","2017","7","Maharashtra","Nanded","0.81","46.1","88.4","35.71","124.1","0.0","6.15","0.0","0.0","123.59","77.2","69.37","3.94","3.21","0.01","4.9","0.0","0.0","0.06","273.5","0.0","23.0","299.54","0.0","0.0","0.0","0.0","0.0","0.0"
"112","2017","7","Maharashtra","Osmanabad","10.3","47.1","91.34","195.07","286.41","11.4","40.34","0.0","0.0","362.83","181.6","61.7","8.84","6.5","1.4","19.5","1.0","2.02","14.15","508.2","0.0","75.0","16.56","0.0","0.0","0.0","0.0","0.0","0.0"
"113","2017","7","Maharashtra","Buldhana","0.0","35.92","20.2","13.23","33.43","2.18","39.6","0.0","0.0","132.2","76.19","30.64","2.22","1.82","0.7","0.1","0.12","0.0","0.04","370.29","0.0","0.26","174.54","0.0","0.0","0.0","0.0","0.0","0.0"
"114","2017","7","Maharashtra","Akola","0.0","25.5","19.17","0.39","19.57","0.3","1.15","0.0","0.0","124.9","113.71","59.3","2.1","1.33","0.0","0.8","0.1","0.0","0.17","504.5","0.0","0.2","183.8","0.0","0.0","0.0","0.0","0.0","0.0"
"115","2017","7","Maharashtra","Amarawati","8.9","39.3","18.34","0.0","18.34","0.1","8.02","0.0","0.0","103.9","112.3","38.29","3.37","0.06","0.9","0.4","0.1","0.0","0.01","287.1","0.0","0.12","207.46","0.0","0.0","0.0","0.0","0.0","0.0"
"116","2017","7","Maharashtra","Yeotmal","0.0","12.8","22.55","1.33","23.87","0.04","2.4","0.0","0.0","94.1","134.6","18.42","3.14","0.63","0.0","0.1","0.0","0.0","0.0","254.5","0.0","14.13","470.3","0.0","0.0","0.0","0.0","0.0","0.0"
"117","2017","7","Maharashtra","Wardha","0.0","14.82","3.0","3.5","6.5","0.0","0.23","0.0","0.0","31.4","88.54","0.09","1.59","0.02","0.0","0.0","0.0","0.0","0.0","116.1","0.0","2.17","251.06","0.0","0.0","0.0","0.0","0.0","0.0"
"118","2017","7","Maharashtra","Nagpur","97.28","135.2","2.3","0.1","2.4","0.0","0.51","0.0","0.0","64.4","65.97","2.88","3.59","0.0","0.2","0.0","0.1","0.01","0.13","151.1","0.0","4.27","145.17","0.0","0.0","0.0","0.0","0.0","0.0"
"119","2017","7","Maharashtra","Bhandara","315.89","13.19","0.0","0.0","0.0","0.0","0.74","0.0","0.0","15.4","18.66","27.77","0.0","1.97","0.3","0.0","0.0","5.5","0.0","5.3","0.0","4.7","0.04","0.0","0.0","0.0","0.0","0.0","0.0"
"120","2017","7","Maharashtra","Chandrapur","284.38","18.66","2.22","2.6","4.82","0.0","2.37","0.0","0.0","37.6","45.73","39.41","0.03","0.75","0.81","0.0","0.13","1.7","0.03","66.1","0.0","0.03","170.69","0.0","0.0","0.0","0.0","0.0","0.0"
"121","2017","3","Gujarat","Ahmedabad","157.76","169.62","0.06","0.41","0.47","7.14","1.15","0.0","0.0","44.16","2.13","23.65","3.64","3.16","1.04","0.0","66.75","0.0","0.0","0.0","0.0","0.0","177.84","0.0","0.0","0.0","4.32","0.19","0.0"
"122","2017","3","Gujarat","Amreli","0.0","8.04","0.0","0.07","0.07","3.8","0.0","0.0","0.0","6.26","2.13","5.63","126.66","5.64","0.0","0.0","0.89","0.0","0.0","0.0","0.0","0.01","374.75","0.0","0.0","0.0","0.0","4.41","0.0"
"123","2017","3","Gujarat","Banaskantha","0.0","73.97","15.5","0.0","15.5","162.97","7.74","0.0","0.0","0.33","1.07","10.46","131.19","3.18","157.6","0.0","112.01","0.0","0.0","0.0","0.0","0.0","18.72","0.0","0.0","0.0","78.13","0.2","0.0"
"124","2017","3","Gujarat","Bharuch","19.52","19.8","2.2","3.01","5.21","0.47","8.05","0.0","0.0","2.97","92.89","13.71","0.63","0.42","0.15","0.0","3.46","0.0","0.0","8.92","0.0","37.52","141.93","0.0","0.0","0.0","0.0","0.0","0.0"
"125","2017","3","Gujarat","Vadodara / Baroda","45.0","20.58","0.44","0.62","1.06","7.61","52.85","0.0","0.0","0.78","67.5","11.52","1.77","0.52","0.09","0.0","40.71","0.0","0.0","22.52","0.0","4.44","159.21","0.0","0.0","0.0","0.33","0.14","0.0"
"126","2017","3","Gujarat","Bhavnagar","0.0","18.87","0.0","0.0","0.0","34.75","0.01","0.0","0.0","4.6","1.65","9.38","95.58","13.94","0.02","0.0","0.25","0.0","0.0","0.0","0.0","0.0","324.73","0.0","0.0","0.0","0.0","28.26","0.0"
"127","2017","3","Gujarat","Valsad","121.65","0.19","0.07","0.74","0.8","0.0","0.39","4.32","0.0","3.48","9.34","13.23","0.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23.48","0.0","0.0","0.0","0.0","0.0","0.6","0.0"
"128","2017","3","Gujarat","Dangs","20.83","2.26","0.69","0.0","0.69","0.0","0.0","7.56","0.0","20.21","2.95","8.28","3.14","0.0","0.0","0.0","0.0","0.0","0.0","2.94","0.0","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"129","2017","3","Gujarat","Jamnagar","0.0","10.98","0.03","0.32","0.35","0.72","0.88","0.0","0.0","14.18","3.8","9.56","323.42","10.43","0.05","0.0","7.9","0.0","0.0","0.0","0.0","0.01","197.3","0.0","0.0","0.0","0.3","1.72","0.0"
"130","2017","3","Gujarat","Junagadh","0.0","98.81","0.0","14.39","14.39","6.55","0.43","0.0","0.0","74.75","1.77","25.29","450.78","7.83","0.01","0.0","1.15","0.0","0.0","3.99","0.0","4.75","77.51","0.0","0.0","0.0","0.0","9.33","0.0"
"131","2017","3","Gujarat","Kheda","235.19","144.22","0.01","0.02","0.03","88.29","11.3","0.0","0.0","5.74","1.98","3.22","3.21","0.66","1.82","0.0","7.66","0.0","0.0","1.45","0.0","0.12","21.7","0.0","0.0","0.0","7.56","0.31","0.0"
"132","2017","3","Gujarat","Kutch","0.0","21.33","26.12","0.0","26.12","27.03","0.12","0.0","0.0","0.22","0.08","90.08","54.79","49.94","6.75","0.0","99.44","0.0","0.0","0.05","0.0","0.0","58.61","0.0","0.0","0.0","0.01","0.29","0.0"
"133","2017","3","Gujarat","Mehsana","12.08","122.18","1.52","0.0","1.52","35.48","0.52","0.0","0.0","24.95","0.81","65.49","20.24","5.43","50.57","0.0","151.63","0.0","0.0","0.0","0.0","0.0","91.73","0.0","0.0","0.0","11.19","0.52","0.0"
"134","2017","3","Gujarat","Panchmahal","127.96","72.68","0.06","0.07","0.13","7.01","256.79","0.0","0.0","43.74","34.26","14.62","4.16","1.01","0.41","0.0","5.47","0.0","0.0","61.35","0.0","0.39","17.07","0.0","0.0","0.0","0.06","1.09","0.0"
"135","2017","3","Gujarat","Rajkot","0.0","71.17","0.0","0.05","0.05","1.79","0.34","0.0","0.0","19.65","3.18","3.79","320.55","5.68","0.2","0.0","12.78","0.0","0.0","0.36","0.0","0.14","385.38","0.0","0.0","0.0","0.0","5.1","0.0"
"136","2017","3","Gujarat","Sabarkantha","8.66","154.25","0.0","0.29","0.29","6.77","56.09","0.0","0.0","4.34","15.28","22.97","94.69","0.78","1.85","0.0","46.58","0.0","0.0","16.73","0.0","0.0","119.69","0.0","0.0","0.0","28.47","0.82","0.0"
"137","2017","3","Gujarat","Surat","105.79","8.1","20.25","4.23","24.47","0.03","3.33","0.0","0.0","5.01","30.12","10.18","5.4","0.26","0.03","0.0","0.23","0.0","0.0","27.69","0.0","110.65","12.55","0.0","0.0","0.0","0.0","0.27","0.0"
"138","2017","3","Gujarat","Surendranagar","0.85","41.71","0.04","0.0","0.04","6.77","0.0","0.0","0.0","17.4","0.25","3.33","38.68","14.11","0.7","0.0","28.33","0.0","0.0","0.0","0.0","0.03","447.78","0.0","0.0","0.0","0.01","1.24","0.0"
"139","2017","10","Rajasthan","Ajmer","0.01","40.33","126.85","0.0","126.85","58.5","23.37","0.0","15.63","66.19","0.0","165.21","1.48","6.59","23.83","0.0","0.14","0.25","0.0","0.0","0.0","0.0","12.06","0.78","5.57","6.36","0.0","0.93","24.74"
"140","2017","10","Rajasthan","Alwar","0.24","203.83","23.76","0.0","23.76","275.81","3.28","0.0","7.42","7.49","0.83","0.43","0.39","1.91","229.01","0.0","0.0","0.0","0.0","0.0","0.0","0.02","46.16","0.37","11.57","11.95","0.05","0.22","30.78"
"141","2017","10","Rajasthan","Banswara","28.87","108.66","0.29","0.0","0.29","0.13","125.13","0.0","1.34","17.77","6.29","14.08","0.5","0.41","3.57","0.0","0.01","0.68","0.0","111.89","0.0","0.03","10.89","0.03","0.54","0.57","0.02","0.15","2.33"
"142","2017","10","Rajasthan","Barmer","0.0","14.54","3.58","0.0","3.58","901.1","0.01","0.0","0.02","2.85","0.0","270.97","4.37","4.73","10.1","0.0","23.78","0.01","0.0","0.0","0.0","0.0","0.0","0.96","0.44","1.4","0.0","0.06","384.76"
"143","2017","10","Rajasthan","Bharatpur","1.36","217.66","50.59","0.0","50.59","211.31","0.0","0.0","2.64","4.16","0.43","0.86","0.04","3.79","260.88","0.0","0.03","0.0","0.0","0.0","0.0","0.02","7.07","1.19","13.98","15.16","12.13","0.02","39.07"
"144","2017","10","Rajasthan","Bhilwara","0.58","102.8","40.35","0.0","40.35","2.31","158.94","0.0","21.36","34.02","0.02","121.88","9.1","10.07","21.65","0.0","0.01","0.04","0.0","5.32","0.0","0.04","41.47","0.64","1.54","2.19","0.05","0.06","33.25"
"145","2017","10","Rajasthan","Bikaner","0.0","108.3","2.05","0.0","2.05","124.37","0.0","0.0","4.83","255.77","0.0","369.54","220.55","12.35","101.33","0.0","0.12","0.0","0.0","0.0","0.0","0.0","2.4","0.41","1.39","1.8","0.01","1.15","716.82"
"146","2017","10","Rajasthan","Bundi","47.01","146.75","0.1","0.0","0.1","0.92","22.94","0.0","1.89","50.6","0.01","149.72","0.39","1.01","20.63","0.0","0.0","0.03","0.0","23.94","0.0","0.76","0.27","0.52","2.42","2.94","0.05","0.04","6.57"
"147","2017","10","Rajasthan","Chittorgarh","1.35","174.88","13.33","0.0","13.33","0.03","120.76","0.0","10.14","22.85","0.1","17.75","18.83","2.17","38.6","0.0","0.0","0.84","0.0","159.37","0.0","1.77","12.31","0.16","5.59","5.76","0.02","3.88","23.12"
"148","2017","10","Rajasthan","Churu","0.0","33.49","0.0","0.0","0.0","266.15","0.0","0.0","7.73","107.09","0.0","514.3","63.45","7.57","72.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.19","0.05","0.58","0.63","0.0","0.46","259.33"
"149","2017","10","Rajasthan","Dungarpur","17.17","47.73","0.23","0.0","0.23","0.04","61.45","0.0","0.88","11.7","1.32","12.12","0.04","1.06","0.43","0.0","0.16","0.0","0.0","32.76","0.0","0.01","0.59","0.0","0.13","0.14","0.0","0.02","4.03"
"150","2017","10","Rajasthan","Ganganagar","42.18","506.64","0.36","0.0","0.36","46.02","0.07","0.0","71.73","196.46","0.13","120.76","26.87","1.93","302.85","0.0","1.91","0.06","0.0","0.0","0.0","2.11","315.65","11.28","3.94","15.22","0.63","0.13","827.01"
"151","2017","10","Rajasthan","Jaipur","0.0","231.45","37.15","0.0","37.15","449.22","1.99","0.0","57.27","36.12","0.09","141.88","41.26","11.72","116.24","0.0","0.0","0.01","0.0","0.0","0.0","0.04","0.2","2.15","26.95","29.1","0.02","3.95","86.22"
"152","2017","10","Rajasthan","Jaisalmer","0.0","8.98","2.75","0.0","2.75","105.07","0.0","0.0","0.0","159.08","0.0","59.97","25.67","6.03","41.69","0.0","4.72","0.0","0.0","0.0","0.0","0.0","0.17","0.33","0.05","0.39","0.0","0.01","598.97"
